Package,SimilarityScore,Label,NameLength,Version,Author,SummaryLength,ReleaseCount,PackageAgeDays
tensorfloww,95,1,11,Unknown,Unknown,0,0,0
torrch,91,1,6,0.0.6,dudadu,54,6,371
torchx,91,1,6,0.7.0,TorchX Devs,25,17,1831
torchy,91,1,6,0.1.3,Ashim Dahal,71,9,1258
torc,89,1,4,0.2.0,,57,3,2580
torchh,91,1,6,0.2.0,,22,1,216
orch,89,1,4,0.0.2,,4,4,453
scip,89,1,4,0.1.12,Maxim Lippeveld,90,6,1452
scipyx,91,1,6,0.0.18,Nico Schlömer,26,7,1880
cipy,89,1,4,Unknown,Unknown,0,0,0
sciipy,91,1,6,Unknown,Unknown,0,0,0
scipyy,91,1,6,Unknown,Unknown,0,0,0
matplotliby,95,1,11,Unknown,Unknown,0,0,0
matplotli,95,1,9,Unknown,Unknown,0,0,0
atplotlib,95,1,9,Unknown,Unknown,0,0,0
0atplotlib,90,1,10,Unknown,Unknown,0,0,0
mattplotlib,95,1,11,Unknown,Unknown,0,0,0
matplotliblib,87,1,13,2,Anonymus,36,5,98
m1tplotlib,90,1,10,Unknown,Unknown,0,0,0
matplotlibpkg,87,1,13,Unknown,Unknown,0,0,0
matplotlibb,95,1,11,Unknown,Unknown,0,0,0
matplotlibx,95,1,11,0.1.3,,89,4,108
ytest,91,1,5,0.1.4,yotong,14,4,3053
pytes,91,1,5,7,Andreas Zeidler,17,1,0
pytestx,92,1,7,Unknown,Unknown,0,0,0
pyttest,92,1,7,1.0.1,Phillis,17,3,3076
pytesty,92,1,7,Unknown,Unknown,0,0,0
pytestt,92,1,7,Unknown,Unknown,0,0,0
fastapii,93,1,8,Unknown,Unknown,0,0,0
fastapiy,93,1,8,Unknown,Unknown,0,0,0
fastap,92,1,6,Unknown,Unknown,0,0,0
fasstapi,93,1,8,Unknown,Unknown,0,0,0
astapi,92,1,6,Unknown,Unknown,0,0,0
f1stapi,86,1,7,Unknown,Unknown,0,0,0
0astapi,86,1,7,Unknown,Unknown,0,0,0
fastapix,93,1,8,0.1.0,,54,2,1527
s1aborn,86,1,7,Unknown,Unknown,0,0,0
eaborn,92,1,6,Unknown,Unknown,0,0,0
seabornn,93,1,8,Unknown,Unknown,0,0,0
seaaborn,93,1,8,2,DedSec,36,4,97
seabor,92,1,6,Unknown,Unknown,0,0,0
0eaborn,86,1,7,Unknown,Unknown,0,0,0
seaborny,93,1,8,Unknown,Unknown,0,0,0
seabornx,93,1,8,Unknown,Unknown,0,0,0
kerras,91,1,6,Unknown,Unknown,0,0,0
kerasy,91,1,6,0.7.2,Shuto Iwasaki,96,24,2260
kerass,91,1,6,Unknown,Unknown,0,0,0
kerasx,91,1,6,Unknown,Unknown,0,0,0
eras,89,1,4,0.5.2,Jason McAffee,97,22,763
kera,89,1,4,1.3.0,,40,6,302
pencv-python,96,1,12,Unknown,Unknown,0,0,0
opencv-pythony,96,1,14,Unknown,Unknown,0,0,0
o1encv-python,92,1,13,Unknown,Unknown,0,0,0
0pencv-python,92,1,13,Unknown,Unknown,0,0,0
opencv-pythonpkg,90,1,16,Unknown,Unknown,0,0,0
opeencv-python,96,1,14,Unknown,Unknown,0,0,0
opencv-pythonlib,90,1,16,Unknown,Unknown,0,0,0
opencv-pythonn,96,1,14,Unknown,Unknown,0,0,0
opencv-pythonx,96,1,14,Unknown,Unknown,0,0,0
opencv-pytho,96,1,12,Unknown,Unknown,0,0,0
illow,91,1,5,Unknown,Unknown,0,0,0
pillo,91,1,5,Unknown,Unknown,0,0,0
pilloww,92,1,7,Unknown,Unknown,0,0,0
pilllow,92,1,7,Unknown,Unknown,0,0,0
pillowx,92,1,7,Unknown,Unknown,0,0,0
pillowy,92,1,7,Unknown,Unknown,0,0,0
sqlalchem,95,1,9,Unknown,Unknown,0,0,0
qlalchemy,95,1,9,Unknown,Unknown,0,0,0
sqlalchemyy,95,1,11,Unknown,Unknown,0,0,0
sqlalchemyx,95,1,11,Unknown,Unknown,0,0,0
sqlalchemypkg,87,1,13,Unknown,Unknown,0,0,0
0qlalchemy,90,1,10,Unknown,Unknown,0,0,0
sqlalchemylib,87,1,13,Unknown,Unknown,0,0,0
sqllalchemy,95,1,11,Unknown,Unknown,0,0,0
s1lalchemy,90,1,10,Unknown,Unknown,0,0,0
beautifulsoup4lib,90,1,17,Unknown,Unknown,0,0,0
beautifulsoup4x,97,1,15,Unknown,Unknown,0,0,0
beautifulsoup,96,1,13,3.2.2,Leonard Richardson,23,13,5691
0eautifulsoup4,93,1,14,Unknown,Unknown,0,0,0
beautifulsoup4y,97,1,15,Unknown,Unknown,0,0,0
beaautifulsoup4,97,1,15,Unknown,Unknown,0,0,0
beautifulsoup4pkg,90,1,17,Unknown,Unknown,0,0,0
b1autifulsoup4,93,1,14,Unknown,Unknown,0,0,0
beautifulsoup44,97,1,15,Unknown,Unknown,0,0,0
eautifulsoup4,96,1,13,Unknown,Unknown,0,0,0
streamlitx,95,1,10,Unknown,Unknown,0,0,0
strreamlit,95,1,10,Unknown,Unknown,0,0,0
streamlitpkg,86,1,12,Unknown,Unknown,0,0,0
streamli,94,1,8,Unknown,Unknown,0,0,0
0treamlit,89,1,9,Unknown,Unknown,0,0,0
streamlitlib,86,1,12,Unknown,Unknown,0,0,0
streamlitt,95,1,10,Unknown,Unknown,0,0,0
streamlity,95,1,10,Unknown,Unknown,0,0,0
treamlit,94,1,8,Unknown,Unknown,0,0,0
s1reamlit,89,1,9,Unknown,Unknown,0,0,0
plotl,91,1,5,Unknown,Unknown,0,0,0
plotlyx,92,1,7,Unknown,Unknown,0,0,0
plootly,92,1,7,Unknown,Unknown,0,0,0
lotly,91,1,5,Unknown,Unknown,0,0,0
plotlyy,92,1,7,Unknown,Unknown,0,0,0
0gboost,86,1,7,Unknown,Unknown,0,0,0
xgbboost,93,1,8,Unknown,Unknown,0,0,0
xgboostt,93,1,8,Unknown,Unknown,0,0,0
gboost,92,1,6,Unknown,Unknown,0,0,0
xgboosty,93,1,8,Unknown,Unknown,0,0,0
x1boost,86,1,7,Unknown,Unknown,0,0,0
xgboostx,93,1,8,Unknown,Unknown,0,0,0
xgboos,92,1,6,Unknown,Unknown,0,0,0
jupytery,93,1,8,Unknown,Unknown,0,0,0
jupyte,92,1,6,Unknown,Unknown,0,0,0
0upyter,86,1,7,Unknown,Unknown,0,0,0
jupyterr,93,1,8,Unknown,Unknown,0,0,0
j1pyter,86,1,7,Unknown,Unknown,0,0,0
jupyterx,93,1,8,Unknown,Unknown,0,0,0
juppyter,93,1,8,Unknown,Unknown,0,0,0
upyter,92,1,6,Unknown,Unknown,0,0,0
noteboo,93,1,7,Unknown,Unknown,0,0,0
notebooky,94,1,9,Unknown,Unknown,0,0,0
notebookk,94,1,9,Unknown,Unknown,0,0,0
0otebook,88,1,8,Unknown,Unknown,0,0,0
n1tebook,88,1,8,Unknown,Unknown,0,0,0
otebook,93,1,7,Unknown,Unknown,0,0,0
notebookx,94,1,9,0.2.1,,29,3,447
nottebook,94,1,9,Unknown,Unknown,0,0,0
pydanticy,94,1,9,Unknown,Unknown,0,0,0
pyddantic,94,1,9,Unknown,Unknown,0,0,0
p1dantic,88,1,8,Unknown,Unknown,0,0,0
pydanti,93,1,7,Unknown,Unknown,0,0,0
ydantic,93,1,7,Unknown,Unknown,0,0,0
pydanticx,94,1,9,Unknown,Unknown,0,0,0
0ydantic,88,1,8,Unknown,Unknown,0,0,0
pydanticc,94,1,9,Unknown,Unknown,0,0,0
uviicorn,93,1,8,Unknown,Unknown,0,0,0
vicorn,92,1,6,Unknown,Unknown,0,0,0
uvicornn,93,1,8,Unknown,Unknown,0,0,0
0vicorn,86,1,7,Unknown,Unknown,0,0,0
uvicornx,93,1,8,Unknown,Unknown,0,0,0
u1icorn,86,1,7,Unknown,Unknown,0,0,0
uvicorny,93,1,8,Unknown,Unknown,0,0,0
uvicor,92,1,6,Unknown,Unknown,0,0,0
transformersy,96,1,13,Unknown,Unknown,0,0,0
traansformers,96,1,13,Unknown,Unknown,0,0,0
transformerss,96,1,13,Unknown,Unknown,0,0,0
0ransformers,92,1,12,Unknown,Unknown,0,0,0
transformerslib,89,1,15,Unknown,Unknown,0,0,0
ransformers,96,1,11,Unknown,Unknown,0,0,0
transformer,96,1,11,Unknown,Unknown,0,0,0
transformerspkg,89,1,15,Unknown,Unknown,0,0,0
t1ansformers,92,1,12,Unknown,Unknown,0,0,0
transformersx,96,1,13,Unknown,Unknown,0,0,0
nlttk,89,1,5,0.0.8,MangoJuice,17,1,70
nltkk,89,1,5,1.3.1,M. Sai Sathvik Raj,459,4,233
nltky,89,1,5,Unknown,Unknown,0,0,0
nltkx,89,1,5,Unknown,Unknown,0,0,0
spacyx,91,1,6,Unknown,Unknown,0,0,0
spacyy,91,1,6,Unknown,Unknown,0,0,0
spaacy,91,1,6,Unknown,Unknown,0,0,0
pacy,89,1,4,Unknown,Unknown,0,0,0
spac,89,1,4,Unknown,Unknown,0,0,0
sympyx,91,1,6,Unknown,Unknown,0,0,0
symmpy,91,1,6,Unknown,Unknown,0,0,0
symp,89,1,4,Unknown,Unknown,0,0,0
sympyy,91,1,6,Unknown,Unknown,0,0,0
ympy,89,1,4,Unknown,Unknown,0,0,0
network,93,1,7,0.1,Andrew Mulholland,70,1,3400
nettworkx,94,1,9,Unknown,Unknown,0,0,0
0etworkx,88,1,8,Unknown,Unknown,0,0,0
networkxx,94,1,9,1.0.0,networkxx,76,1,180
n1tworkx,88,1,8,Unknown,Unknown,0,0,0
networkxy,94,1,9,Unknown,Unknown,0,0,0
etworkx,93,1,7,Unknown,Unknown,0,0,0
0tatsmodels,91,1,11,Unknown,Unknown,0,0,0
staatsmodels,96,1,12,Unknown,Unknown,0,0,0
tatsmodels,95,1,10,Unknown,Unknown,0,0,0
statsmodelsx,96,1,12,Unknown,Unknown,0,0,0
statsmodelslib,88,1,14,Unknown,Unknown,0,0,0
statsmodelss,96,1,12,Unknown,Unknown,0,0,0
statsmodelsy,96,1,12,Unknown,Unknown,0,0,0
statsmodelspkg,88,1,14,Unknown,Unknown,0,0,0
statsmodel,95,1,10,Unknown,Unknown,0,0,0
s1atsmodels,91,1,11,Unknown,Unknown,0,0,0
lightgbmm,94,1,9,Unknown,Unknown,0,0,0
lightgb,93,1,7,Unknown,Unknown,0,0,0
0ightgbm,88,1,8,Unknown,Unknown,0,0,0
ightgbm,93,1,7,Unknown,Unknown,0,0,0
l1ghtgbm,88,1,8,Unknown,Unknown,0,0,0
ligghtgbm,94,1,9,Unknown,Unknown,0,0,0
lightgbmx,94,1,9,Unknown,Unknown,0,0,0
lightgbmy,94,1,9,Unknown,Unknown,0,0,0
atboost,93,1,7,Unknown,Unknown,0,0,0
catboostt,94,1,9,Unknown,Unknown,0,0,0
cattboost,94,1,9,Unknown,Unknown,0,0,0
catboos,93,1,7,Unknown,Unknown,0,0,0
catboosty,94,1,9,Unknown,Unknown,0,0,0
0atboost,88,1,8,Unknown,Unknown,0,0,0
c1tboost,88,1,8,Unknown,Unknown,0,0,0
catboostx,94,1,9,Unknown,Unknown,0,0,0
dashh,89,1,5,Unknown,Unknown,0,0,0
dashx,89,1,5,0.1.0,,16,1,126
dassh,89,1,5,Unknown,Unknown,0,0,0
dashy,89,1,5,0.0.1,Workday WPC Team,19,1,2302
bokehy,91,1,6,Unknown,Unknown,0,0,0
okeh,89,1,4,Unknown,Unknown,0,0,0
boke,89,1,4,0.0.1,,44,1,1516
bokehh,91,1,6,Unknown,Unknown,0,0,0
bokkeh,91,1,6,Unknown,Unknown,0,0,0
bokehx,91,1,6,Unknown,Unknown,0,0,0
scrapyy,92,1,7,Unknown,Unknown,0,0,0
scrrapy,92,1,7,Unknown,Unknown,0,0,0
scrap,91,1,5,0.1,migloo,12,1,0
scrapyx,92,1,7,Unknown,Unknown,0,0,0
crapy,91,1,5,0.0.3,jessekrubin,17,3,2495
sellenium,94,1,9,Unknown,Unknown,0,0,0
seleniumm,94,1,9,Unknown,Unknown,0,0,0
0elenium,88,1,8,Unknown,Unknown,0,0,0
elenium,93,1,7,Unknown,Unknown,0,0,0
s1lenium,88,1,8,Unknown,Unknown,0,0,0
seleniu,93,1,7,Unknown,Unknown,0,0,0
seleniumx,94,1,9,0.1.1,Paul D. Mendes,18,2,2393
seleniumy,94,1,9,Unknown,Unknown,0,0,0
penpyxl,93,1,7,Unknown,Unknown,0,0,0
openpyxll,94,1,9,Unknown,Unknown,0,0,0
openpyx,93,1,7,Unknown,Unknown,0,0,0
openpyxly,94,1,9,Unknown,Unknown,0,0,0
openpyxlx,94,1,9,Unknown,Unknown,0,0,0
o1enpyxl,88,1,8,Unknown,Unknown,0,0,0
opeenpyxl,94,1,9,Unknown,Unknown,0,0,0
0penpyxl,88,1,8,Unknown,Unknown,0,0,0
xlrdd,89,1,5,Unknown,Unknown,0,0,0
xlrdy,89,1,5,Unknown,Unknown,0,0,0
xlrdx,89,1,5,Unknown,Unknown,0,0,0
xlrrd,89,1,5,Unknown,Unknown,0,0,0
pyaarrow,93,1,8,Unknown,Unknown,0,0,0
0yarrow,86,1,7,Unknown,Unknown,0,0,0
pyarrowy,93,1,8,Unknown,Unknown,0,0,0
pyarrowx,93,1,8,Unknown,Unknown,0,0,0
pyarro,92,1,6,Unknown,Unknown,0,0,0
pyarroww,93,1,8,Unknown,Unknown,0,0,0
p1arrow,86,1,7,Unknown,Unknown,0,0,0
yarrow,92,1,6,1.2,Thomas Thurman,43,1,0
dassk,89,1,5,Unknown,Unknown,0,0,0
dasky,89,1,5,Unknown,Unknown,0,0,0
daskk,89,1,5,Unknown,Unknown,0,0,0
daskx,89,1,5,Unknown,Unknown,0,0,0
pysspark,93,1,8,Unknown,Unknown,0,0,0
p1spark,86,1,7,Unknown,Unknown,0,0,0
pysparky,93,1,8,Unknown,Unknown,0,0,0
pysparkk,93,1,8,Unknown,Unknown,0,0,0
pysparkx,93,1,8,Unknown,Unknown,0,0,0
0yspark,86,1,7,Unknown,Unknown,0,0,0
yspark,92,1,6,Unknown,Unknown,0,0,0
pyspar,92,1,6,Unknown,Unknown,0,0,0
oblib,91,1,5,1.1.3,SunSpec Alliance,28,7,2659
joblibx,92,1,7,Unknown,Unknown,0,0,0
jobli,91,1,5,Unknown,Unknown,0,0,0
jobliby,92,1,7,Unknown,Unknown,0,0,0
joblibb,92,1,7,Unknown,Unknown,0,0,0
jobblib,92,1,7,Unknown,Unknown,0,0,0
tqdmm,89,1,5,Unknown,Unknown,0,0,0
tqdmx,89,1,5,0.0.4,KimythAnly,38,3,2012
tqddm,89,1,5,Unknown,Unknown,0,0,0
tqdmy,89,1,5,Unknown,Unknown,0,0,0
aker,89,1,4,0.5.0,Ahmed Nazmy,16,1,3055
fakerx,91,1,6,0.2.0,,24,1,156
fakery,91,1,6,0.1.4,Gary Johnson,44,5,4451
fakker,91,1,6,Unknown,Unknown,0,0,0
fakerr,91,1,6,Unknown,Unknown,0,0,0
fake,89,1,4,0.8,Brian Muller,47,8,3653
ricch,89,1,5,Unknown,Unknown,0,0,0
richx,89,1,5,Unknown,Unknown,0,0,0
richy,89,1,5,Unknown,Unknown,0,0,0
richh,89,1,5,Unknown,Unknown,0,0,0
ttpx,89,1,4,Unknown,Unknown,0,0,0
http,89,1,4,0.02,Franck Cuny,23,2,5245
httpxy,91,1,6,0.0.0a1,Gabriel,45,1,1933
htttpx,91,1,6,Unknown,Unknown,0,0,0
httpxx,91,1,6,0.1.2,,8,3,182
aiohttpx,93,1,8,0.0.12,Tri Songz,122,12,1287
0iohttp,86,1,7,Unknown,Unknown,0,0,0
iohttp,92,1,6,Unknown,Unknown,0,0,0
a1ohttp,86,1,7,Unknown,Unknown,0,0,0
aiohttpy,93,1,8,Unknown,Unknown,0,0,0
aiohttpp,93,1,8,Unknown,Unknown,0,0,0
aiohtt,92,1,6,Unknown,Unknown,0,0,0
aioohttp,93,1,8,Unknown,Unknown,0,0,0
ryptography,96,1,11,Unknown,Unknown,0,0,0
cryptographylib,89,1,15,Unknown,Unknown,0,0,0
cryyptography,96,1,13,Unknown,Unknown,0,0,0
cryptographypkg,89,1,15,Unknown,Unknown,0,0,0
cryptograph,96,1,11,Unknown,Unknown,0,0,0
c1yptography,92,1,12,Unknown,Unknown,0,0,0
0ryptography,92,1,12,Unknown,Unknown,0,0,0
cryptographyx,96,1,13,Unknown,Unknown,0,0,0
cryptographyy,96,1,13,Unknown,Unknown,0,0,0
paramikoy,94,1,9,Unknown,Unknown,0,0,0
p1ramiko,88,1,8,Unknown,Unknown,0,0,0
paramikoo,94,1,9,Unknown,Unknown,0,0,0
paramik,93,1,7,Unknown,Unknown,0,0,0
aramiko,93,1,7,Unknown,Unknown,0,0,0
parramiko,94,1,9,Unknown,Unknown,0,0,0
0aramiko,88,1,8,Unknown,Unknown,0,0,0
paramikox,94,1,9,Unknown,Unknown,0,0,0
bcryptx,92,1,7,Unknown,Unknown,0,0,0
bcryp,91,1,5,Unknown,Unknown,0,0,0
bcrrypt,92,1,7,Unknown,Unknown,0,0,0
crypt,91,1,5,Unknown,Unknown,0,0,0
bcrypty,92,1,7,Unknown,Unknown,0,0,0
bcryptt,92,1,7,Unknown,Unknown,0,0,0
pytest-covlib,87,1,13,Unknown,Unknown,0,0,0
pytest-co,95,1,9,Unknown,Unknown,0,0,0
0ytest-cov,90,1,10,Unknown,Unknown,0,0,0
pytest-covx,95,1,11,Unknown,Unknown,0,0,0
pytest-covpkg,87,1,13,Unknown,Unknown,0,0,0
pytest-covv,95,1,11,Unknown,Unknown,0,0,0
p1test-cov,90,1,10,Unknown,Unknown,0,0,0
ytest-cov,95,1,9,Unknown,Unknown,0,0,0
pyttest-cov,95,1,11,Unknown,Unknown,0,0,0
pytest-covy,95,1,11,Unknown,Unknown,0,0,0
flake,91,1,5,Unknown,Unknown,0,0,0
flake8x,92,1,7,Unknown,Unknown,0,0,0
flaake8,92,1,7,Unknown,Unknown,0,0,0
flake8y,92,1,7,Unknown,Unknown,0,0,0
flake88,92,1,7,Unknown,Unknown,0,0,0
lake8,91,1,5,Unknown,Unknown,0,0,0
blackk,91,1,6,Unknown,Unknown,0,0,0
blackx,91,1,6,Unknown,Unknown,0,0,0
blacky,91,1,6,Unknown,Unknown,0,0,0
blac,89,1,4,Unknown,Unknown,0,0,0
blaack,91,1,6,Unknown,Unknown,0,0,0
lack,89,1,4,23.3.0.6,,40,6,1388
isortt,91,1,6,Unknown,Unknown,0,0,0
isortx,91,1,6,Unknown,Unknown,0,0,0
isorty,91,1,6,Unknown,Unknown,0,0,0
isoort,91,1,6,Unknown,Unknown,0,0,0
isor,89,1,4,Unknown,Unknown,0,0,0
sort,89,1,4,Unknown,Unknown,0,0,0
mypyx,89,1,5,Unknown,Unknown,0,0,0
myppy,89,1,5,0.1.0,Ryan Kelly,26,1,5681
mypyy,89,1,5,0.0.1,Ymepy,54,1,192
0unicorn,88,1,8,Unknown,Unknown,0,0,0
gunicor,93,1,7,Unknown,Unknown,0,0,0
gunicorny,94,1,9,Unknown,Unknown,0,0,0
unicorn,93,1,7,2.1.4,,27,28,3452
g1nicorn,88,1,8,Unknown,Unknown,0,0,0
gunicornn,94,1,9,Unknown,Unknown,0,0,0
gunicornx,94,1,9,Unknown,Unknown,0,0,0
gunnicorn,94,1,9,Unknown,Unknown,0,0,0
celeryy,92,1,7,Unknown,Unknown,0,0,0
celeryx,92,1,7,Unknown,Unknown,0,0,0
celer,91,1,5,0.7.4,,60,14,3026
cellery,92,1,7,Unknown,Unknown,0,0,0
elery,91,1,5,Unknown,Unknown,0,0,0
edis,89,1,4,Unknown,Unknown,0,0,0
redisx,91,1,6,0.1.7,weedge,24,4,976
